,18,19.01,30.04,26.01,10,39.02,28.02,17.01,6,7.01,41.03,40.06,153,16,13.02,23,37.02,14.03,37.03,3.02,43.06,43.03,43.04,34.02,47,9.04,31.02,32.01,32.02,41.01,8,24.02,15,48.01,68.09,68.12,55.03,44.05,45.06,46.01,83.88,83.12,27.03,120.1,83.9,29.02,1.02,2.01,67.01,35,40.03,119.02,51.02,50.02,69.01,44.03,41.02,9801,45.05,83.89,120.01,9.02,38,29.01,26.02,36.03,43.01,43.02,53,83.87,19.02,4.02,14.02,11.01,13.01,30.01,37.01,42.01,83.06,70.06,83.05,36.02,33,40.02,41.06,32.03,70.13,45.03,68.04,68.1,156,83.91,39.01,30.03,31.01,40.05,120.14,11.02,9.03,9.05,50.01,24.03,21,154,68.14,7.02,41.04,20,3.01,3.03,2.02,4.01,5.02,30.02,70.88,70.89,52,44.04,155,83.86,68.11,119.03,83.04,55.02,45.04,46.02,157,42.02,17.02,14.01,5.01,51.04,46.03,70.37,28.01,27.01,40.04,34.01,9800,68.13,28.03,41.07,27.02,36.01
Astra Health Care,0.092444144,0.105244306,0.064075673,0.086915419,0.107746429,0.041837863,0.077426457,0.106280723,0.122237732,0.14292008,0.061388763,0.048868513,0.01792375,0.098699949,0.094555558,0.081006039,0.058651901,0.086054485,0.051504514,0.151720584,0.01956025,0.029542742,0.033690853,0.057157196,0.141068499,0.141180797,0.072379226,0.069492875,0.063905606,0.079673163,0.117886738,0.083495714,0.112465985,0.144409422,0.055112338,0.039404548,0.147471003,0.028618446,0.123100163,0.137520426,0.145960191,0.110540796,0.076784835,0.177923937,0.165214298,0.06781085,0.153602263,0.135575615,0.069386594,0.096251885,0.045310149,0.157714129,0.021589377,0.001139896,0.026245588,0.047158396,0.073728458,0.101734918,0.123740044,0.180849469,0.163524713,0.138835854,0.045066628,0.075110222,0.081125348,0.07048038,0.042766632,0.037815298,0.037155103,0.122664343,0.109625571,0.126032643,0.104774909,0.120717477,0.109348023,0.073233196,0.061932686,0.051379003,0.111478244,0.064281276,0.124356133,0.07949001,0.051340882,0.056132752,0.086520257,0.061464994,0.018556366,0.136943387,0.070267231,0.056823168,0.107658653,0.181277945,0.041853787,0.060607354,0.075752466,0.04519771,0.200017953,0.115865229,0.124885494,0.126927301,0.008754958,0.089348952,0.088666485,0.161196009,0.050772416,0.129917032,0.057240519,0.089767743,0.149647399,0.139227044,0.130878748,0.131744155,0.134196226,0.076281254,0.015804508,0.026665332,0.015174585,0.039980766,0.027496592,0.132030264,0.041984588,0.169579431,0.116095427,0.144224834,0.138121668,0.123495976,0.131104878,0.046360337,0.095817845,0.101094064,0.146232299,0.030467011,0.125268757,0.038265786,0.073471574,0.083192422,0.053407813,0.059206922,0.272726173,0.049287777,0.069963219,0.078084181,0.077380641,0.088721415
Clinica Tepeyac,0.058422818,0.059711898,0.12006542,0.04500585,0.077028988,0.104785401,0.07093074,0.037850014,0.049039472,0.077352023,0.063701659,0.121278496,0.103839488,0.026666053,0.087212613,0.037919373,0.061201836,0.107431203,0.06686312,0.064703568,0.101540776,0.089139799,0.092275119,0.093881401,0.128701526,0.083721425,0.049516967,0.056827518,0.059219266,0.05613101,0.063156864,0.040275845,0.00803695,0.142084566,0.165743415,0.149098156,0.164576058,0.119424331,0.099298932,0.115711531,0.195058981,0.156764023,0.053548117,0.183389797,0.22389069,0.087590681,0.053735201,0.025534155,0.176340363,0.029610149,0.140087114,0.149397899,0.11727336,0.118826985,0.135425927,0.101765954,0.075360995,0.129890579,0.093154246,0.23381896,0.163700039,0.092262205,0.078573561,0.084843622,0.046240641,0.048401176,0.07548968,0.081885544,0.125354677,0.166348566,0.048043539,0.040373278,0.106046724,0.024073223,0.090286132,0.102166857,0.056270085,0.06984266,0.148070142,0.182372749,0.157844228,0.042099361,0.069374817,0.133207722,0.11654512,0.069423473,0.136727105,0.106242707,0.182676868,0.172626331,0.119234529,0.242346666,0.091079694,0.107636929,0.044647276,0.113089788,0.192429259,0.031525807,0.083920972,0.073883357,0.110544878,0.03581205,0.074064451,0.057456338,0.168911383,0.066342206,0.080317229,0.053465494,0.055027591,0.052054904,0.026998155,0.035463939,0.058257928,0.115622972,0.126786247,0.132949684,0.125508207,0.106091339,0.108180913,0.171725003,0.158022268,0.152014817,0.144998442,0.153450535,0.100898061,0.109068951,0.135944229,0.085244289,0.044021784,0.098212853,0.070305105,0.1156032,0.122409251,0.143402384,0.065233865,0.05267082,0.155125707,0.079290555,0.30725073,0.166996148,0.073826305,0.093380004,0.059311437,0.029504852
CU Family Health Clinic Sheridan Campus,0.095475287,0.093302957,0.072827311,0.112139536,0.076135127,0.096203751,0.089387438,0.115055553,0.109790335,0.096930053,0.152544227,0.088734883,0.123375586,0.128176161,0.066992639,0.131471899,0.122390177,0.055657571,0.128310889,0.121278678,0.14221808,0.1267109,0.150313258,0.086340399,0.035316672,0.088115894,0.120492339,0.11194721,0.115836314,0.167046855,0.093351273,0.121445631,0.145083917,0.022471196,0.128979107,0.123835996,0.012285449,0.16376591,0.057128936,0.047817087,0.281134287,0.243473153,0.1089661,0.041166522,0.301823376,0.081482256,0.137088426,0.145852489,0.124984029,0.158698285,0.10384311,0.03218929,0.115492283,0.137852135,0.122837541,0.171759967,0.177361359,0.22781963,0.064306524,0.317185497,0.029050716,0.076312909,0.113563496,0.07833926,0.114896432,0.140631971,0.132862153,0.139763314,0.10238689,0.255719126,0.105614627,0.120826187,0.047428463,0.13281129,0.062737941,0.068144707,0.13207813,0.144607622,0.241682857,0.170481196,0.254638903,0.149625979,0.119272195,0.08589536,0.210891575,0.104016842,0.142336982,0.058543228,0.13935924,0.144868086,0.035613081,0.31803391,0.103602367,0.077270281,0.12502064,0.091569575,0.064429659,0.123443592,0.07509293,0.087172614,0.130733705,0.122393692,0.081083461,0.144610116,0.15669967,0.097258686,0.165575726,0.101395579,0.129843196,0.120667168,0.138415869,0.13054228,0.109230039,0.060917454,0.152200859,0.162969224,0.125974085,0.167868551,0.109888445,0.264595344,0.139764852,0.046721773,0.244127877,0.009587707,0.065793887,0.046268162,0.018141119,0.158291107,0.109579879,0.05532755,0.108304135,0.106413031,0.03167699,0.173590855,0.097851622,0.105364579,0.111875477,0.095700338,0.407693519,0.164653967,0.091671541,0.192725692,0.101578579,0.14106224
Denver Osteopathic Clinic,0.053981488,0.050521476,0.060333669,0.071297315,0.033269998,0.074867046,0.051803346,0.072352926,0.067127209,0.058370261,0.117235997,0.07546967,0.100015277,0.086213336,0.02762279,0.091747906,0.086897777,0.031634613,0.094335268,0.081660504,0.116387275,0.098645944,0.12129892,0.059621336,0.025387835,0.0503763,0.082111589,0.074376929,0.079376568,0.129526723,0.050697214,0.081162117,0.102569592,0.034075689,0.126548332,0.116283683,0.05443713,0.139970786,0.016959031,0.022022655,0.253919445,0.214909477,0.069940436,0.075375677,0.277118878,0.050501567,0.096229309,0.103077383,0.12765704,0.118144261,0.096704134,0.045101467,0.097536852,0.117561082,0.110415943,0.14255167,0.142141307,0.1961618,0.023736514,0.291484448,0.056376194,0.039902475,0.082548006,0.044635021,0.074964426,0.102943021,0.100914853,0.109059621,0.089260336,0.226975279,0.062734456,0.078147025,0.011671493,0.089904314,0.019908074,0.043469979,0.095789743,0.110916924,0.211494615,0.163993555,0.22417462,0.110867899,0.085757385,0.078884893,0.179227765,0.069264277,0.126987378,0.026316987,0.140660447,0.14115042,0.017091831,0.294262891,0.076663332,0.057340745,0.08603133,0.07417814,0.090434646,0.080543391,0.034089176,0.045860767,0.10876331,0.081314438,0.041236556,0.104155207,0.148978399,0.055860862,0.132475347,0.060205235,0.089034964,0.079128716,0.095614733,0.08793512,0.067740716,0.045557504,0.132188289,0.142982475,0.109535442,0.140166281,0.089140049,0.235322015,0.132072815,0.054384156,0.212808847,0.04338062,0.031725323,0.008698411,0.025780312,0.126909284,0.06760422,0.016700609,0.06907314,0.088828087,0.012619955,0.154685564,0.060337345,0.065203012,0.109305771,0.063492896,0.37906385,0.154561404,0.056231992,0.159042019,0.062763658,0.100583518
Family Medicine Clinic for Health Equity,0.153182341,0.166147168,0.122921574,0.144886367,0.170051451,0.103827451,0.139327851,0.163889023,0.181260843,0.204151383,0.10338797,0.106740844,0.0802394,0.153058153,0.15725626,0.133732757,0.114783421,0.147765668,0.105934429,0.210612036,0.069837911,0.087749453,0.075280531,0.119797809,0.202964909,0.203033683,0.128504075,0.127977303,0.121699691,0.115646817,0.178870146,0.139250036,0.16302397,0.205208425,0.079212614,0.074985126,0.204964165,0.047891918,0.185800459,0.200028183,0.103712975,0.080613445,0.135636188,0.235976799,0.114645228,0.130514825,0.210088738,0.188385716,0.092726667,0.139739486,0.093028534,0.218669932,0.081397224,0.061578658,0.07255215,0.067202414,0.100295548,0.08929808,0.186407168,0.131569562,0.223131293,0.201256728,0.105295716,0.13779404,0.138540568,0.119354627,0.095892559,0.0874816,0.09286698,0.089989525,0.168932809,0.183414183,0.167023727,0.175289432,0.172045641,0.13526885,0.114329667,0.097619705,0.088154733,0.047273109,0.098072784,0.124941161,0.109113215,0.109810898,0.082622803,0.122185928,0.0529133,0.199643683,0.083096224,0.066951478,0.168848615,0.128047086,0.104406863,0.121907183,0.130481476,0.105458276,0.259434099,0.172186805,0.187243053,0.188583917,0.071014294,0.144919627,0.150926843,0.217017478,0.049855546,0.190739486,0.088686797,0.149692755,0.207069267,0.197413286,0.185001042,0.187645161,0.19377261,0.136576666,0.047402656,0.037384577,0.069826664,0.061421935,0.089580742,0.099140457,0.061769966,0.231103288,0.096124728,0.203392927,0.200797143,0.185978761,0.19168004,0.081913091,0.154290466,0.163661119,0.206460587,0.090376897,0.186962426,0.025325541,0.134483945,0.142568492,0.090845456,0.121377279,0.225775803,0.038701833,0.131959056,0.091502376,0.137617644,0.138495574
Federico Pena Family Health Center,0.048487243,0.04383472,0.063905242,0.066012799,0.026519213,0.076051906,0.04851717,0.065693688,0.059640847,0.050801618,0.113849753,0.078368732,0.100186005,0.080146357,0.024620247,0.08685813,0.083747307,0.03468292,0.091610262,0.073940616,0.115729698,0.097629113,0.119758159,0.059920167,0.028099203,0.042980145,0.077900238,0.070605963,0.075973144,0.125299958,0.043198249,0.076086629,0.096034769,0.039185624,0.130448443,0.119453044,0.061439653,0.139585755,0.009772276,0.020558812,0.252220116,0.212981883,0.065596175,0.08078177,0.275958967,0.049875584,0.088469695,0.095676494,0.132313633,0.112732992,0.100235613,0.048886618,0.098982018,0.118203864,0.112777888,0.140788477,0.138632332,0.193483145,0.01613681,0.290066517,0.061404994,0.032932261,0.08094517,0.04331283,0.070122828,0.098817053,0.098751153,0.10717056,0.091849713,0.224967256,0.055789163,0.07067366,0.014723504,0.082793014,0.013586562,0.045213809,0.092249173,0.108107273,0.209160813,0.166916153,0.221732938,0.106268576,0.083303617,0.082815288,0.176607964,0.066682567,0.128570932,0.021479306,0.145004497,0.144707918,0.02404531,0.293281031,0.076370276,0.059487298,0.081517594,0.076273156,0.094202166,0.073493454,0.026347265,0.038100435,0.1091359,0.075815876,0.037114146,0.096395564,0.151793479,0.0481056,0.129679828,0.054832514,0.081274515,0.071391356,0.088237688,0.080424742,0.059995168,0.049366777,0.132735891,0.143439768,0.111111561,0.138815008,0.090122431,0.233158389,0.135042025,0.056494261,0.210171515,0.049939555,0.025739195,0.007049376,0.032591837,0.124659207,0.061628012,0.015982554,0.061399521,0.090519271,0.01890727,0.155287041,0.056852695,0.060360274,0.113386513,0.061955487,0.376832696,0.156908336,0.053730288,0.155927322,0.058634681,0.095284155
Gipson Eastside Family Health Center,0.032561258,0.040417931,0.086667654,0.01512864,0.05580949,0.070844201,0.039661514,0.025055849,0.043859062,0.072595609,0.044136686,0.087323542,0.071981265,0.011159352,0.060201791,0.009022894,0.029111648,0.077069054,0.036663928,0.071080077,0.073177589,0.058177009,0.066928126,0.060219771,0.108549069,0.07569738,0.01597566,0.02286764,0.025601238,0.047797906,0.049964524,0.006569031,0.026611311,0.120175993,0.132542276,0.116047489,0.139367347,0.094139902,0.079556629,0.097266001,0.186506388,0.146874989,0.020444511,0.161713263,0.213640623,0.054884925,0.068252577,0.047858477,0.142708629,0.031728668,0.10626349,0.129594398,0.084309321,0.088484993,0.10267299,0.08166186,0.064997845,0.122758785,0.074949158,0.225496638,0.142442898,0.080384109,0.045420688,0.053289227,0.01321209,0.025332691,0.046447304,0.054483156,0.091571186,0.157835148,0.03437249,0.042654571,0.079778302,0.033453415,0.067503846,0.070063187,0.027623465,0.045441743,0.140249789,0.151885788,0.151683841,0.027737562,0.036886754,0.09928912,0.107045873,0.035482019,0.105971071,0.089818684,0.149531372,0.140239802,0.092055357,0.231906027,0.057289691,0.074200363,0.011964858,0.079124398,0.174493785,0.030716706,0.068380039,0.062136308,0.079525939,0.005513633,0.046112669,0.075073058,0.137833644,0.058789791,0.062733458,0.0262347,0.065775514,0.05721849,0.043423825,0.045755892,0.056740746,0.08344755,0.098284334,0.105871652,0.093337486,0.083927295,0.074862048,0.164678229,0.125874023,0.135050639,0.139162117,0.129408392,0.0862825,0.087555212,0.111774008,0.063636174,0.020916286,0.071906298,0.070441511,0.08203439,0.099034585,0.117205637,0.032641197,0.021955164,0.121391519,0.045496858,0.305803111,0.136999003,0.041076748,0.083957971,0.027193031,0.014250794
Kaiser Permanente Skyline,0.030087024,0.040375277,0.077943609,0.013362477,0.05387473,0.061437461,0.033051139,0.029838888,0.048291932,0.075544864,0.040547395,0.078039593,0.062871928,0.0198443,0.055416117,0.00943058,0.020350817,0.070222828,0.028652889,0.076811768,0.065196749,0.049436613,0.060117155,0.051348519,0.105681697,0.077599121,0.006642197,0.013683374,0.016137907,0.048012914,0.051461295,0.00470693,0.036084297,0.116522377,0.123084841,0.106613539,0.134299755,0.086965854,0.077378003,0.095193538,0.183629012,0.143883738,0.01319063,0.157832188,0.210156828,0.046849281,0.075625234,0.056797321,0.133224563,0.037022606,0.096797889,0.126616221,0.07490518,0.079758008,0.093295881,0.076380438,0.063477834,0.120827232,0.073478094,0.222509902,0.138836223,0.080943918,0.036028405,0.046089289,0.007692588,0.022494742,0.038663999,0.04717112,0.082096942,0.155153117,0.037230352,0.048961616,0.074889978,0.04177435,0.064441173,0.06228683,0.021083572,0.039727568,0.137920069,0.14297361,0.149727819,0.028540274,0.027778575,0.090071178,0.10464446,0.026301764,0.097069622,0.088610936,0.140078044,0.130911385,0.086575463,0.228302349,0.047812951,0.065480947,0.004691981,0.069791188,0.171834999,0.037665847,0.068099883,0.063414194,0.070634996,0.010480464,0.041364778,0.082810836,0.128795144,0.061537472,0.058863195,0.023778883,0.072548878,0.063223802,0.051924887,0.053303416,0.061240703,0.075531727,0.090065548,0.098044212,0.084096484,0.077913051,0.065404292,0.162366417,0.116602874,0.133005189,0.137416748,0.12486247,0.08577948,0.084512355,0.107335875,0.058281153,0.022253778,0.067157372,0.074753731,0.072551365,0.095066184,0.109580322,0.025195772,0.017396815,0.11191269,0.036537352,0.304507155,0.128232832,0.033225881,0.08207018,0.020549599,0.019710467
La Casa/Quigg Newton Family Health Center,0.049486643,0.046566886,0.116011111,0.041702973,0.063273484,0.104815407,0.065264413,0.026527078,0.030952294,0.057545529,0.077046271,0.119961045,0.109107335,0.026412849,0.076535823,0.044884669,0.066447864,0.098913741,0.074003319,0.044188804,0.110388547,0.095550656,0.103196822,0.091310325,0.112569238,0.064468466,0.052879791,0.0576854,0.062023437,0.073217854,0.046676022,0.041870341,0.018207273,0.126582317,0.168271201,0.152065856,0.150654128,0.130582172,0.083700309,0.099081616,0.213623645,0.174834829,0.052076303,0.167310111,0.242075535,0.082971585,0.034598641,0.010592027,0.177499138,0.047551115,0.14060249,0.132800921,0.120626969,0.125870137,0.13908622,0.115628973,0.092452146,0.148529828,0.077065937,0.252530927,0.147602997,0.073837471,0.08197126,0.078642695,0.045697813,0.059375815,0.083655445,0.091339392,0.126227764,0.184827752,0.033949045,0.020887272,0.094018501,0.006691442,0.076653758,0.096019786,0.064464625,0.080984296,0.16664312,0.189202435,0.176848189,0.0561899,0.07402376,0.131234336,0.134470282,0.069299217,0.143290717,0.089015857,0.185274591,0.176814375,0.107494471,0.260515655,0.092419276,0.103967003,0.049356852,0.112296301,0.174710037,0.016127232,0.067083094,0.056103684,0.116847161,0.036093407,0.064989693,0.039760364,0.175038402,0.047606534,0.094955388,0.046320338,0.034906503,0.031507993,0.007113093,0.01489094,0.038405065,0.109204002,0.135581834,0.142905253,0.130220297,0.118973707,0.110808796,0.190580961,0.162652355,0.134265247,0.164017261,0.138953322,0.083141739,0.094048725,0.121796507,0.098153714,0.036445372,0.086500666,0.049913169,0.117434399,0.10806695,0.154034437,0.061772859,0.04850146,0.155979214,0.077775759,0.32733394,0.174380205,0.069997512,0.111072263,0.055759924,0.040693584
Lowry Family Health Center,0.110099117,0.122908609,0.100518148,0.098835109,0.130193358,0.075707493,0.099294049,0.116936691,0.135184174,0.160643091,0.052455763,0.08647615,0.048567299,0.104308238,0.120906826,0.084767574,0.068862748,0.118168417,0.059573546,0.163912519,0.029867843,0.047502513,0.027288245,0.08713134,0.171381214,0.160932435,0.081709691,0.083222088,0.076671981,0.064378928,0.135428962,0.091727627,0.112646538,0.176830866,0.08837846,0.075092154,0.183135294,0.011417453,0.149422763,0.16560292,0.109275321,0.072253015,0.090848563,0.212871243,0.131124866,0.095553973,0.161569106,0.138405288,0.10349778,0.088460608,0.084171958,0.189697624,0.05975155,0.038243097,0.063912133,0.01636294,0.050143487,0.06300346,0.148496967,0.145828599,0.197208651,0.161184782,0.064624574,0.101821044,0.092268144,0.069452789,0.04985938,0.040751236,0.075880641,0.084482814,0.123443973,0.135871094,0.134795157,0.126204476,0.135114598,0.105052411,0.066114382,0.048055326,0.072523578,0.080001466,0.085449429,0.07405626,0.065106648,0.09481824,0.048588402,0.080700878,0.047472425,0.162972877,0.10063841,0.084573752,0.140156515,0.148217202,0.06964332,0.094589539,0.082682773,0.081352142,0.233545405,0.124127214,0.147165532,0.146277945,0.042223596,0.097081202,0.111547496,0.168049485,0.071903162,0.146763174,0.037376686,0.105555163,0.159201222,0.150273022,0.13557116,0.139067857,0.148049608,0.11096479,0.0293326,0.02570518,0.053912396,0.010099969,0.06258801,0.093687726,0.071521454,0.200356455,0.077080595,0.17859504,0.162710906,0.152009278,0.164069223,0.030919513,0.108371114,0.129666004,0.161326846,0.067892412,0.156376246,0.030876692,0.092723603,0.098044171,0.090702097,0.083292183,0.235899464,0.064429755,0.092602693,0.045990964,0.094439219,0.088312051
Sam Sandos Westside Health Center,0.028717542,0.015752553,0.087011628,0.041483178,0.019964455,0.086743508,0.043646392,0.030160642,0.017905707,0.022324557,0.095305459,0.096731769,0.102777424,0.04745658,0.038088298,0.061556802,0.069931353,0.061972558,0.079211305,0.036366561,0.112493981,0.094154078,0.111347845,0.069508836,0.06393433,0.022843966,0.058397529,0.05540342,0.061959284,0.101027499,0.003309538,0.051051988,0.05907109,0.078083892,0.149966559,0.135826,0.103021451,0.136253885,0.035413787,0.050454257,0.238374532,0.198621816,0.047851977,0.118664251,0.264683855,0.058098971,0.047808464,0.053992617,0.155596064,0.08199062,0.119587287,0.084192762,0.108220705,0.121723489,0.125511987,0.129807335,0.117863891,0.175469371,0.028547978,0.277223516,0.098958329,0.027600448,0.076531242,0.050966528,0.04786555,0.077104879,0.088746355,0.097863719,0.10736989,0.209922227,0.019345301,0.028866064,0.0503567,0.042706321,0.031451915,0.064857632,0.074876895,0.093428803,0.192667389,0.180025233,0.204392885,0.080966354,0.07368457,0.105397685,0.159390361,0.059644597,0.13632944,0.040626377,0.166250486,0.161902218,0.063515615,0.28274819,0.079701726,0.077359191,0.059436937,0.091212393,0.126778032,0.034160237,0.018451268,0.008953869,0.111951016,0.047811437,0.034333921,0.056135059,0.164862956,0.009678159,0.113495898,0.033084325,0.040899409,0.030092299,0.046688576,0.038445608,0.019260556,0.075697378,0.13480494,0.144444157,0.119989745,0.13022958,0.097964748,0.217116765,0.149611301,0.086367037,0.191998915,0.090955727,0.035317038,0.046077845,0.07422999,0.111907679,0.032734777,0.044141687,0.026801092,0.101825881,0.060505253,0.156510051,0.047372168,0.040647787,0.134609243,0.061927229,0.358899556,0.167329675,0.051109137,0.136658601,0.044422776,0.066416962
Stout Street Health Center,0.022500559,0.028833842,0.083442233,0.00796951,0.044800947,0.070869209,0.033612327,0.014436118,0.033052588,0.061127409,0.054991314,0.086274999,0.076317869,0.010741361,0.051196985,0.020270631,0.035080527,0.070225642,0.043820385,0.061396617,0.080186649,0.063742522,0.075518522,0.057906125,0.097726953,0.063974548,0.02125204,0.024049154,0.029146546,0.059587444,0.038173703,0.010819927,0.02931648,0.109789809,0.134359869,0.118237898,0.130027003,0.102282682,0.06849569,0.086091587,0.197824684,0.158138059,0.018107009,0.151386229,0.224724143,0.050598173,0.060720763,0.044484474,0.143534113,0.042413658,0.10665567,0.118780201,0.086980922,0.093903711,0.10544356,0.091630887,0.07660414,0.134329763,0.063609481,0.236784201,0.131971625,0.068597437,0.048737069,0.047517687,0.012035287,0.036316099,0.05386907,0.062504961,0.092257954,0.16921101,0.022747878,0.033663555,0.070599511,0.028473651,0.057018127,0.064885063,0.036461205,0.055024747,0.15172621,0.156606403,0.163261271,0.039524915,0.041739779,0.097772769,0.118481905,0.03533282,0.110833823,0.078343784,0.151357144,0.143204154,0.083352728,0.242938939,0.058504363,0.071136096,0.01989748,0.078474194,0.1634555,0.022828617,0.056716984,0.050343205,0.084534536,0.006381659,0.037443687,0.068170725,0.142152852,0.047229665,0.073524121,0.016684272,0.057330638,0.047829242,0.038662184,0.038700528,0.046016341,0.078332491,0.104800688,0.113065078,0.096969621,0.093305392,0.077034425,0.17616886,0.129214706,0.123792071,0.150781639,0.119648839,0.074631393,0.076914952,0.101991918,0.073528573,0.009310174,0.062685627,0.059620646,0.08351324,0.08894965,0.124702652,0.028506191,0.015463835,0.122020374,0.043966089,0.317525421,0.142179377,0.037025565,0.095509357,0.022454971,0.025535414
